H_over_D,sigma_R,Esr_over_Ed
0.4285714285714285,0.9200507614213196,3.0
0.4622792937399678,0.8883248730964457,3.0
0.507223113964687,0.843908629441624,3.0
0.5521669341894062,0.7994923857868015,3.0
0.5874799357945424,0.7677664974619285,3.0
0.6292134831460674,0.7296954314720807,3.0
0.6613162118780098,0.6979695431472077,3.0
0.6998394863563404,0.6535532994923852,3.0
0.2889245585874799,1.1421319796954306,3.5
0.3418940609951845,1.097715736040609,3.5
0.4012841091492776,1.0406091370558368,3.5
0.4365971107544141,1.002538071065989,3.5
0.4847512038523274,0.9454314720812178,3.5
0.5296950240770466,0.8883248730964457,3.5
0.5714285714285714,0.8375634517766493,3.5
0.6131621187800962,0.7931472081218276,3.5
0.6516853932584272,0.7487309644670042,3.5
0.7014446227929374,0.6979695431472077,3.5
0.7512038523274478,0.6535532994923852,3.5
0.8009630818619584,0.6154822335025374,3.5
0.8507223113964688,0.5774111675126905,3.5
0.8988764044943822,0.5329949238578671,3.5
0.9486356340288926,0.4885786802030454,3.5
0.998394863563403,0.4441624365482228,3.5
0.1878009630818619,1.313451776649746,4.0
0.2504012841091492,1.2626903553299496,4.0
0.3162118780096307,1.2055837563451774,4.0
0.3804173354735153,1.135786802030457,4.0
0.4221508828250401,1.0850253807106591,4.0
0.4670947030497592,1.027918781725888,4.0
0.5040128410914928,0.9771573604060908,4.0
0.5489566613162118,0.9137055837563448,4.0
0.6019261637239166,0.8502538071065988,4.0
0.6516853932584272,0.7868020304568519,4.0
0.6998394863563404,0.7296954314720807,4.0
0.1508828250401284,1.5482233502538074,5.0
0.1990369181380417,1.5164974619289335,5.0
0.2520064205457463,1.4593908629441623,5.0
0.3001605136436597,1.408629441624365,5.0
0.3499197431781701,1.3261421319796949,5.0
0.3996789727126806,1.2499999999999991,5.0
0.4365971107544141,1.186548223350254,5.0
0.4558587479935794,1.154822335025381,5.0
0.4991974317817014,1.0850253807106591,5.0
0.550561797752809,1.002538071065989,5.0
0.6003210272873194,0.9137055837563448,5.0
0.6500802568218298,0.8375634517766493,5.0
0.7030497592295346,0.7741116751269033,5.0
0.7495987158908508,0.7233502538071059,5.0
0.8009630818619584,0.6725888324873086,5.0
0.8491171749598716,0.6281725888324869,5.0
0.9004815409309792,0.5774111675126905,5.0
0.9486356340288926,0.5329949238578671,5.0
0.998394863563403,0.4822335025380706,5.0
0.2006420545746388,1.782994923857868,7.0
0.2487961476725522,1.7322335025380715,7.0
0.2985553772070626,1.656091370558376,7.0
0.3290529695024076,1.598984771573604,7.0
0.3691813804173354,1.5228426395939083,7.0
0.3996789727126806,1.4530456852791875,7.0
0.4317817014446228,1.3895939086294415,7.0
0.4590690208667737,1.31979695431472,7.0
0.5008025682182986,1.218274111675126,7.0
0.5521669341894062,1.0850253807106591,7.0
0.5890850722311398,1.008883248730965,7.0
0.6500802568218298,0.901015228426396,7.0
0.6998394863563404,0.812182741116751,7.0
0.1011235955056179,2.0748730964467006,8.0
0.1492776886035313,2.036802030456853,8.0
0.2006420545746388,1.967005076142132,8.0
0.2504012841091492,1.878172588832487,8.0
0.2985553772070626,1.7893401015228418,8.0
0.348314606741573,1.6814720812182733,8.0
0.3996789727126806,1.5736040609137047,8.0
0.4462279293739968,1.4467005076142128,8.0
0.4879614767255217,1.3261421319796949,8.0
0.5264847512038524,1.2246192893401018,8.0
0.5682182985553772,1.1104060913705576,8.0
0.6195826645264848,0.9961928934010142,8.0
0.6500802568218298,0.9454314720812178,8.0
0.6902086677367578,0.875634517766497,8.0
0.7207062600321028,0.8312182741116745,8.0
0.7544141252006422,0.7804568527918772,8.0
0.8009630818619584,0.7233502538071059,8.0
0.8507223113964688,0.6662436548223347,8.0
0.9020866773675764,0.6154822335025374,8.0
0.9502407704654896,0.5710659898477148,8.0
0.998394863563403,0.5266497461928923,8.0
0.1011235955056179,2.3921319796954315,10.0
0.1492776886035313,2.347715736040609,10.0
0.2006420545746388,2.2652284263959386,10.0
0.2343499197431782,2.208121827411168,10.0
0.2664526484751204,2.131979695431472,10.0
0.3033707865168539,2.030456852791878,10.0
0.3434991974317816,1.9162436548223347,10.0
0.3723916532905297,1.821065989847716,10.0
0.3996789727126806,1.719543147208121,10.0
0.4301765650080256,1.598984771573604,10.0
0.4654895666131621,1.4847715736040603,10.0
0.4975922953451044,1.370558375634518,10.0
0.5313001605136436,1.2690355329949234,10.0
0.5521669341894062,1.2055837563451774,10.0
0.5906902086677368,1.1104060913705576,10.0
0.6147672552166934,1.0532994923857864,10.0
0.6468699839486358,0.9898477157360404,10.0
0.680577849117175,0.9327411167512684,10.0
0.6998394863563404,0.901015228426396,10.0
0.0995184590690209,2.7220812182741114,12.0
0.1492776886035313,2.6649746192893407,12.0
0.1910112359550561,2.588832487309644,12.0
0.2311396468699839,2.493654822335025,12.0
0.2632423756019261,2.40482233502538,12.0
0.2969502407704654,2.3032994923857872,12.0
0.3290529695024076,2.189086294416243,12.0
0.3579454253611557,2.055837563451777,12.0
0.3884430176565007,1.9225888324873093,12.0
0.420545746388443,1.7703045685279184,12.0
0.449438202247191,1.6497461928934003,12.0
0.4735152487961476,1.5482233502538074,12.0
0.4991974317817014,1.4467005076142128,12.0
0.534510433386838,1.3388324873096442,12.0
0.5698234349919744,1.2309644670050757,12.0
0.6035313001605136,1.1421319796954306,12.0
0.635634028892456,1.0596446700507611,12.0
0.664526484751204,1.002538071065989,12.0
0.7014446227929374,0.9327411167512684,12.0
0.7431781701444624,0.8692893401015223,12.0
0.796147672552167,0.7868020304568519,12.0
0.8426966292134832,0.7296954314720807,12.0
0.9004815409309792,0.6535532994923852,12.0
0.1011235955056179,3.1789340101522847,15.0
0.1412520064205457,3.083756345177665,15.0
0.1717495987158908,3.0076142131979697,15.0
0.1974317817014446,2.918781725888325,15.0
0.2311396468699839,2.8045685279187813,15.0
0.2568218298555376,2.7093908629441628,15.0
0.2857142857142857,2.588832487309644,15.0
0.319422150882825,2.436548223350254,15.0
0.3434991974317816,2.3223350253807107,15.0
